Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Genre_mean_rating,Director_encoded,Actor1_encoded,Actor2_encoded,Actor3_encoded
Cabaret,2019.0,95.0,Drama,3.4,175.0,Kaustav Narayan Niyogi,Akshay Anand,Richa Chadha,Gulshan Devaiah,6.271282051282052,3.4,3.6,5.46,5.6
Calapor,2013.0,120.0,Drama,4.5,6.0,Dinesh P. Bhonsle,Hemant Gopal,Rituparna Sengupta,Akash Sharma,6.271282051282052,4.5,4.5,5.742857142857143,4.5
Calcutta Mail,2003.0,128.0,Action,5.7,480.0,Sudhir Mishra,Anil Kapoor,Rani Mukerji,Manisha Koirala,5.543406229290921,6.709090909090909,5.593478260869565,5.989473684210526,6.021428571428571
Calendar Girls,2015.0,131.0,Drama,4.2,862.0,Madhur Bhandarkar,Akanksha Puri,Avani Modi,Kyra Dutt,6.271282051282052,6.1000000000000005,4.2,4.2,4.2
Call,2000.0,176.0,Action,6.8,2236.0,Rajkumar Santoshi,Anil Kapoor,Madhuri Dixit,Namrata Shirodkar,5.543406229290921,6.876923076923077,5.593478260869565,5.976190476190476,5.3
Call for Fun,2017.0,126.0,Comedy,5.6,36.0,Janak Toprani,Priyanka Arya,Charu Asopa,Yash Chaturvedi,5.838155136268345,5.6,5.6,5.6,5.6
Cape Karma,2007.0,90.0,Drama,4.2,141.0,Pankaj Advani,Rahul Dev,Audrie Woodhouse,Gulshan Grover,6.271282051282052,5.2,6.175,4.2,4.984210526315789
Captain Nagarjuna,1986.0,134.0,Drama,6.5,13.0,Rajendra Prasad V.B.,Nagarjuna Akkineni,Kushboo,Dubbing Janaki,6.271282051282052,5.1,6.279999999999999,5.6000000000000005,6.5
Captain Prabhakaran,1991.0,150.0,Action,7.0,212.0,R.K. Selvamani,Mansoor Ali Khan,Sarath Kumar,Ramya Krishnan,5.543406229290921,5.35,7.0,7.0,6.35
Captain Vidyut,2020.0,77.0,Animation,7.7,11.0,Atish Tripathi,Namit Das,Trisha Kale,Suresh Menon,6.0736842105263165,7.7,7.7,7.7,7.7
Car Thief,1986.0,150.0,Action,7.0,13.0,Sameer Malkan,Suneil Anand,Vijayata Pandit,Kevin Mukherji,5.543406229290921,5.6,5.9,5.833333333333333,7.0
Caravan,1971.0,161.0,Action,6.8,260.0,Nasir Hussain,Asha Parekh,Jeetendra,Aruna Irani,5.543406229290921,6.87,6.8,5.58125,5.723809523809524
Care of Footpath,2009.0,110.0,Drama,7.2,42.0,Kishan Shrikanth,Kishan Shrikanth,Jayashree Basavaraj,Jackie Shroff,6.271282051282052,7.2,7.2,7.2,5.535294117647059
Cargo,2019.0,119.0,Drama,5.7,2589.0,Arati Kadav,Vikrant Massey,Shweta Tripathi,Nandu Madhav,6.271282051282052,5.7,5.7,6.050000000000001,5.800000000000001
Cash,2007.0,137.0,Action,3.4,1859.0,Anubhav Sinha,Ajay Devgn,Sunil Shetty,Zayed Khan,5.543406229290921,5.67,5.603448275862069,5.222727272727273,3.875
CC2C,2009.0,154.0,Action,4.1,8102.0,Nikkhil Advani,Akshay Kumar,Deepika Padukone,Chia-Hui Liu,5.543406229290921,6.066666666666666,5.474647887323943,6.053846153846154,4.1
Cecilia,2015.0,83.0,Documentary,7.9,31.0,Pankaj Johar,Cecilia,Pankaj Johar,Rishi Kant,7.608333333333333,7.9,7.9,7.9,7.9
Celluloid Man,2012.0,164.0,Documentary,7.8,162.0,Shivendra Singh Dungarpur,U.R. Ananthamurthy,G. Ananthappa,Beena Antony,7.608333333333333,7.8,7.8,7.8,7.8
Censor,2001.0,165.0,Drama,3.5,122.0,Dev Anand,Dev Anand,Hema Malini,Shammi Kapoor,6.271282051282052,5.309090909090909,6.709803921568628,6.2318181818181815,5.872727272727272
Chaahat,1996.0,151.0,Drama,5.5,2676.0,Mahesh Bhatt,Naseeruddin Shah,Shah Rukh Khan,Pooja Bhatt,6.271282051282052,5.726470588235294,6.185365853658537,6.338461538461539,4.85
Chaahat Ek Nasha,2005.0,140.0,Drama,3.9,74.0,Surya Prakash,Jayprakkash Shaw,Aryan Vaid,Manisha Koirala,6.271282051282052,3.9,3.9,4.3,6.021428571428571
Chaalbaaz,1989.0,155.0,Action,6.8,1489.0,Pankaj Parashar,Sridevi,Sunny Deol,Rajinikanth,5.543406229290921,5.922222222222222,5.922222222222222,5.378571428571428,6.05
Chaalis Chauraasi,2012.0,120.0,Comedy,6.1,474.0,Hriday Shetty,Naseeruddin Shah,Kay Kay Menon,Atul Kulkarni,5.838155136268345,5.433333333333333,6.185365853658537,6.25,5.58
