Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Genre_mean_rating,Director_encoded,Actor1_encoded,Actor2_encoded,Actor3_encoded
Gadhvi ,2019.0,109.0,Drama,7.0,8.0,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid,6.271282051282052,7.0,6.85,7.0,7.0
Yaaram,2019.0,110.0,Comedy,4.4,35.0,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor,5.838155136268345,4.4,5.42,4.4,4.45
Aur Pyaar Ho Gaya,1997.0,147.0,Comedy,4.7,827.0,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor,5.838155136268345,5.2,4.885714285714286,5.786666666666666,5.872727272727272
Yahaan,2005.0,142.0,Drama,7.4,1086.0,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma,6.271282051282052,7.383333333333333,5.444444444444445,6.933333333333334,6.6571428571428575
 A Question Mark,2012.0,82.0,Horror,5.6,326.0,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia,4.68655462184874,5.6,5.6,5.883333333333333,5.6
Andheri,2014.0,116.0,Action,4.0,11.0,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon,5.543406229290921,4.0,4.0,4.55,4.0
1,2004.0,96.0,Drama,6.2,17.0,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni,6.271282051282052,6.2,5.766666666666667,5.488888888888889,5.58
100 Days,1991.0,161.0,Horror,6.5,983.0,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey,4.68655462184874,5.127272727272727,5.247222222222223,5.976190476190476,5.041666666666667
100,2012.0,166.0,Comedy,5.7,512.0,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh,5.838155136268345,5.7,6.300000000000001,5.7,5.7
102 Not Out,2018.0,102.0,Comedy,7.4,6619.0,Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz,5.838155136268345,6.225,6.122340425531915,6.3428571428571425,6.066666666666666
10ml LOVE,2010.0,87.0,Comedy,6.3,162.0,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha,5.838155136268345,6.866666666666667,6.3,6.3,6.933333333333334
12 O'Clock,1958.0,132.0,Crime,7.2,72.0,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala,6.17,6.484615384615385,7.425,6.916,6.828571428571428
127 B,2017.0,116.0,Comedy,6.6,26.0,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik,5.838155136268345,6.6,6.6,6.6,6.6
13B,2009.0,146.0,Drama,7.3,6329.0,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon,6.271282051282052,7.3,6.883333333333333,6.3999999999999995,6.111111111111111
15 Park Avenue,2005.0,116.0,Drama,7.1,1002.0,Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose,6.271282051282052,6.816666666666666,6.8297297297297295,6.975,6.34
15th August,1993.0,168.0,Drama,5.6,15.0,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor,6.271282051282052,5.4,5.45,5.3,5.442857142857143
16 December,2002.0,158.0,Action,6.9,1235.0,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover,5.543406229290921,5.7,6.5,6.214285714285714,4.984210526315789
18,2014.0,126.0,Action,3.5,10.0,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari,5.543406229290921,3.5,3.5,5.488888888888889,4.05
19 Revolutions,2004.0,94.0,Drama,4.5,16.0,Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey,6.271282051282052,4.5,4.5,5.488888888888889,4.5
1920,2008.0,138.0,Horror,6.4,3100.0,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh,4.68655462184874,4.7875,5.12,5.7,6.4
1920 London,2016.0,120.0,Horror,4.1,1559.0,Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal,4.68655462184874,4.1,4.74,4.1,4.1
1921,2018.0,144.0,Horror,4.5,1069.0,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt,4.68655462184874,4.7875,4.05,4.5,4.5
1942,1994.0,157.0,Action,7.2,3223.0,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala,5.543406229290921,6.514285714285714,5.593478260869565,5.046153846153846,6.021428571428571
1971,2007.0,136.0,Action,8.1,1892.0,Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal,5.543406229290921,6.199999999999999,6.695833333333333,6.5,6.566666666666666
1978,2019.0,107.0,Thriller,4.0,20.0,Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam,5.382558139534884,4.0,4.0,4.0,4.0
1982 - A Love Marriage,2017.0,113.0,Comedy,5.5,106.0,Prashant Gore,Amitkumar Sharma,Omna,Rita Agarwal,5.838155136268345,5.5,5.5,5.5,5.5
2 Nights in Soul Valley,2012.0,80.0,Adventure,6.8,21.0,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma,6.188,6.8,6.8,6.8,6.8
2 October,2003.0,122.0,Action,5.0,33.0,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika,5.543406229290921,5.0,5.8500000000000005,5.0,3.85
2 States,2014.0,149.0,Comedy,6.9,24034.0,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh,5.838155136268345,5.25,5.616666666666667,5.6000000000000005,5.153333333333333
2,2018.0,148.0,Action,6.2,21938.0,S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson,5.543406229290921,7.166666666666667,6.104,5.564285714285715,5.550000000000001
2001,1998.0,149.0,Crime,3.5,112.0,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu,6.17,5.128571428571428,5.247222222222223,5.482608695652174,5.964285714285714
2016 the End,2017.0,130.0,Comedy,6.1,94.0,Jaideep Chopra,Divyendu Sharma,Kiku Sharda,Harshad Chopda,5.838155136268345,5.949999999999999,6.25,6.1,6.1
22 Days,2018.0,124.0,Thriller,6.1,8.0,Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh,5.382558139534884,6.1,6.175,6.1,6.1
22 June 1897,1979.0,121.0,Drama,7.7,52.0,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit,6.271282051282052,7.7,7.7,5.355555555555556,7.7
22 Yards,2019.0,126.0,Sport,6.1,361.0,Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor,5.8,6.1,6.55,6.1,6.557142857142857
23rd March 1931,2002.0,188.0,Biography,5.1,642.0,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh,6.674025974025974,4.87,4.885714285714286,5.378571428571428,5.153333333333333
27 Down,1974.0,115.0,Drama,6.9,194.0,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher,6.271282051282052,6.9,6.95,6.027777777777778,6.9
3 AM,2014.0,103.0,Horror,5.0,514.0,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier,4.68655462184874,5.0,5.0,4.9,5.0
3 Bachelors,2012.0,114.0,Comedy,3.3,165.0,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan,5.838155136268345,4.15,4.74,3.75,3.3
3 Deewarein,2003.0,115.0,Crime,7.8,2322.0,Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla,6.17,6.99,6.185365853658537,5.046153846153846,5.6571428571428575
3 Dev,2019.0,122.0,Comedy,6.9,35.0,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur,5.838155136268345,5.966666666666666,6.9,6.9,5.95
3 Idiots,2009.0,170.0,Comedy,8.4,357889.0,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,5.838155136268345,8.059999999999999,6.906896551724138,6.257142857142857,8.4
3 Storeys,2018.0,100.0,Drama,6.9,358.0,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha,6.271282051282052,6.9,6.9,6.9,5.95
3,2015.0,99.0,Adventure,4.3,6.0,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar,6.188,4.3,5.366666666666667,4.3,4.3
31st October,2015.0,109.0,Action,5.8,238.0,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle,5.543406229290921,5.8,5.85,5.8,6.55
36 China Town,2006.0,140.0,Comedy,5.7,4373.0,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor,5.838155136268345,5.777777777777778,5.777777777777778,5.88,5.828571428571428
36 Chowringhee Lane,1981.0,122.0,Drama,7.5,392.0,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy,6.271282051282052,6.816666666666666,7.5,7.5,7.5
376 D,2020.0,128.0,Crime,5.7,252.0,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi,6.17,5.7,5.7,5.7,5.7
377 AbNormal,2019.0,93.0,Drama,5.6,93.0,Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub,6.271282051282052,6.366666666666667,5.7,6.55,6.416666666666667
3D Saamri,1985.0,102.0,Horror,5.6,80.0,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta,4.68655462184874,5.594736842105263,5.776470588235294,5.449999999999999,6.133333333333333
3G,2013.0,125.0,Horror,3.6,1128.0,Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan,4.68655462184874,4.15,4.15,4.533333333333333,5.55
3rd EYE,2019.0,145.0,Horror,6.3,6.0,Sanjay Niranjan,Deepak Bhatia,Mukul Dev,Sakshi Dwivedi,4.68655462184874,6.3,6.3,5.366666666666667,6.3
404,2011.0,121.0,Drama,7.3,2548.0,Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat,6.271282051282052,5.5600000000000005,7.3,7.3,6.85
417 Miles,2016.0,75.0,Drama,4.8,9.0,Mainak Dhar,Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob,6.271282051282052,4.8,4.8,4.8,4.8
498A-The Wedding Gift,2012.0,113.0,Drama,7.8,21.0,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik,6.271282051282052,7.8,7.8,7.8,7.1
5 Ghantey Mien 5 Crore,2012.0,111.0,Thriller,5.7,75.0,Faisal Saif,Nassar Abdulla,Shawar Ali,Rashid Khan,5.382558139534884,5.5,5.166666666666667,4.45,6.8999999999999995
5 Rifles,1974.0,134.0,Action,6.5,36.0,I.S. Johar,Rakesh Khanna,Rajesh Khanna,Ambika Johar,5.543406229290921,6.4875,6.5,6.359999999999999,6.5
5ters,2011.0,110.0,Action,4.6,19.0,G. Venugopal,Akash,Avinash,Gagan,5.543406229290921,4.6,4.6,4.6,4.6
6-5,2014.0,104.0,Horror,4.2,171.0,Bharat Jain,Prashantt Guptha,Gaurav Paswala,Gaurav Kothari,4.68655462184874,4.2,4.85,4.2,4.2
68 Pages,2007.0,92.0,Drama,6.2,31.0,Sridhar Rangayan,Mouli Ganguly,Joy Sengupta,Jayati Bhatia,6.271282051282052,6.55,6.2,6.2,5.95
7 1,2005.0,136.0,Comedy,5.3,281.0,Ishaan Trivedi,Juhi Chawla,Irrfan Khan,Manoj Pahwa,5.838155136268345,3.766666666666667,5.671428571428572,5.807142857142857,6.916666666666667
7 Bijliyaan,1988.0,126.0,Action,5.0,7.0,Raju Saigal,Tina Ambani,Shoma Anand,Krishan Dhawan,5.543406229290921,5.0,4.75,5.5,6.0
7 Hours to Go,2016.0,115.0,Crime,5.7,398.0,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt,6.17,5.85,5.95,5.7,5.75
7 Islands and a Metro,2006.0,100.0,Documentary,6.2,10.0,Dutta Madhusree,Vibha Chhibber,Harish Khanna,Om Prakash,7.608333333333333,6.2,6.2,7.050000000000001,6.377777777777777
7 Khoon Maaf,2011.0,137.0,Drama,6.1,5640.0,Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh,6.271282051282052,7.1,5.757142857142857,6.1,5.9
7 Saal Baad,1987.0,127.0,Drama,4.1,34.0,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol,6.271282051282052,4.1,5.86,5.699999999999999,5.6
706,2019.0,120.0,Thriller,5.3,449.0,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta,5.382558139534884,5.3,6.6375,5.166666666666667,5.5375
72 Hours,2019.0,130.0,Action,5.3,249.0,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin,5.543406229290921,5.3,5.1,5.3,5.449999999999999
8 x 10 Tasveer,2009.0,122.0,Action,5.4,5459.0,Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey,5.543406229290921,6.99,5.474647887323943,5.6125,5.041666666666667
8119 Miles,2021.0,115.0,Adventure,6.6,21.0,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert,6.188,6.6,6.6,6.6,6.6
88 Antop Hill,2003.0,119.0,Mystery,4.7,66.0,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai,5.898148148148148,5.800000000000001,5.8999999999999995,4.9,4.7
9 O' Clock,2017.0,124.0,Action,5.3,9.0,Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami,Rohit Rajawat,5.543406229290921,5.3,4.975,5.3,5.3
99,2009.0,135.0,Comedy,7.3,2767.0,Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani,5.838155136268345,6.56,6.56,5.24,5.883333333333333
99 Songs,2019.0,128.0,Musical,7.4,1901.0,Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha,6.116470588235294,7.4,7.4,7.4,7.4
A Billion Colour Story,2016.0,105.0,Drama,8.1,412.0,Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma,Vasuki,6.271282051282052,8.1,8.1,8.1,8.1
A Daughter's Tale PANKH,2017.0,145.0,Drama,6.3,10.0,Premraaj,Rajinder Verma,Sunil Lahri,Nishigandha Wad,6.271282051282052,6.3,6.3,6.3,6.3
A Death in the Gunj,2016.0,110.0,Drama,7.5,4637.0,Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey,Gulshan Devaiah,6.271282051282052,7.5,7.075,6.1000000000000005,5.6
A Film by Aravind,2005.0,150.0,Horror,6.8,179.0,Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala,Richard Rishi,4.68655462184874,6.8,4.566666666666666,6.8,6.8
A Flat,2010.0,103.0,Drama,4.5,202.0,Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney,6.271282051282052,3.6,5.444444444444445,3.7,4.1
A Flying Jatt,2016.0,151.0,Action,3.0,4145.0,Remo D'Souza,Tiger Shroff,Jacqueline Fernandez,Nathan Jones,5.543406229290921,4.133333333333334,3.4499999999999997,4.1499999999999995,3.0
A Game Called Relationship,2020.0,109.0,Comedy,6.3,181.0,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri,5.838155136268345,5.3999999999999995,6.3,6.3,6.3
A Gentleman,2017.0,145.0,Action,6.2,5227.0,Krishna D.K.,Raj Nidimoru,Sidharth Malhotra,Jacqueline Fernandez,5.543406229290921,6.56,6.56,5.433333333333334,5.033333333333333
A Gift of Love,2019.0,95.0,Drama,8.0,33.0,Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai,6.271282051282052,8.0,8.0,6.5,6.0
A Journey of Samyak Buddha,2013.0,127.0,Drama,7.3,17.0,Praveen Damle,Geeta Agrawal,Jyoti Bagat,Gautam Dhengare,6.271282051282052,7.3,7.3,7.3,7.3
A New Love Ishtory,2013.0,140.0,Romance,6.0,80.0,John Mathew Matthan,Raqesh Bapat,Gurpreet Kaur Chadha,Smita Jaykar,5.624503311258278,5.45,6.0,6.0,6.0
A Scandall,2016.0,112.0,Thriller,3.1,142.0,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul,5.382558139534884,3.766666666666667,3.1,3.1,5.6
A Sublime Love Story,2005.0,143.0,Drama,3.8,627.0,Suneel Darshan,Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas,6.271282051282052,3.9,4.885714285714286,4.144444444444444,5.172727272727273
A Thin Line,2019.0,104.0,Drama,7.9,24.0,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare,6.271282051282052,7.300000000000001,7.9,5.466666666666666,7.300000000000001
A Wednesday,2008.0,104.0,Action,8.1,75118.0,Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill,5.543406229290921,7.35,5.873333333333333,6.540000000000001,6.557142857142857
Aa Ab Laut Chalen,1999.0,177.0,Musical,5.5,1621.0,Rishi Kapoor,Rajesh Khanna,Akshaye Khanna,Aishwarya Rai Bachchan,6.116470588235294,5.5,6.6,5.88,5.985714285714286
AA BB KK,2018.0,121.0,Drama,8.0,249.0,Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia,6.271282051282052,8.0,8.0,8.0,5.733333333333333
Aa Dekhen Zara,2009.0,117.0,Action,5.0,866.0,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary,5.543406229290921,5.0,4.779999999999999,4.144444444444444,5.0
Aa Gale Lag Jaa,1973.0,148.0,Action,7.2,348.0,Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha,5.543406229290921,6.4411764705882355,6.313513513513513,7.003333333333333,6.188888888888889
Aa Gaya Hero,2017.0,123.0,Action,2.7,339.0,Dipankar Senapati,Govinda,Richa Sharma,Poonam Pandey,5.543406229290921,2.7,4.822916666666667,2.7,2.7
Aa Jao Please,2016.0,120.0,Drama,6.8,16.0,Azad Jain,Neha Chauhan,Ganraj Jadhav,Dipak Khetiya,6.271282051282052,6.8,6.8,6.8,6.8
Aabra Ka Daabra,2004.0,144.0,Fantasy,2.4,264.0,Dheeraj Kumar,Naveen Bawa,Prabhu Deva,Satish Kaushik,6.2,2.4,2.4,4.133333333333334,4.8999999999999995
Aabroo,1968.0,170.0,Comedy,5.5,21.0,C.L. Rawal,Ashok Kumar,Vimi,Rehman,5.838155136268345,6.3,6.5458823529411765,5.5,6.9
Aadamkhor,2018.0,72.0,Horror,7.4,150.0,Kshitij Sharma,Deeya Dey,Anoma Pabuwal,Mahendra Singh Rawat,4.68655462184874,6.1000000000000005,7.4,6.1000000000000005,7.4
Aadat Se Majboor,1982.0,105.0,Action,5.5,28.0,Ambrish Sangal,Mithun Chakraborty,Rameshwari,Madan Puri,5.543406229290921,5.0600000000000005,5.34078947368421,4.8999999999999995,6.1000000000000005
Aadha Din Aadhee Raat,1977.0,132.0,Action,5.1,18.0,Doondi,Jalal Agha,Vinod Khanna,Shabana Azmi,5.543406229290921,5.1,5.933333333333334,5.869565217391305,6.583333333333333
Aadhaar,2019.0,107.0,Drama,7.6,69.0,Suman Ghosh,Vineet Kumar Singh,Saurabh Shukla,Raghuvir Yadav,6.271282051282052,7.6,7.8,5.9,6.463636363636363
Aadharshila,1982.0,154.0,Drama,6.4,19.0,Ashok Ahuja,Dolly Ahluwalia,Raja Bundela,Neena Gupta,6.271282051282052,6.4,6.2,6.5,5.625
Aadhi Bhagavan,2013.0,157.0,Action,5.4,568.0,Ameer Sultan,Jayam Ravi,Neetu Chandra,Sudha Chandran,5.543406229290921,5.4,5.4,6.3999999999999995,5.4
Aadhi Raat,1950.0,115.0,Drama,6.7,9.0,S.K. Ojha,Cuckoo,Jeevan,Kuldip Kaur,6.271282051282052,6.7,6.7,6.2,6.616666666666667
Aadmi,1968.0,175.0,Drama,6.8,196.0,A. Bhimsingh,Dilip Kumar,Waheeda Rehman,Manoj Kumar,6.271282051282052,6.8076923076923075,7.019230769230769,6.916,7.1
Aadmi Aur Apsara,1991.0,142.0,Fantasy,6.7,66.0,J. Om Prakash,K. Raghavendra Rao,Chiranjeevi,Amrish Puri,6.2,5.62,6.7,6.5,5.959090909090909
Aadmi Aur Insaan,1969.0,168.0,Drama,6.2,149.0,Yash Chopra,Dharmendra,Saira Banu,Feroz Khan,6.271282051282052,6.955,5.924691358024691,6.605882352941176,6.816666666666666
Aadmi Khilona Hai,1993.0,158.0,Drama,5.0,142.0,J. Om Prakash,Jeetendra,Reena Roy,Govinda,6.271282051282052,5.62,5.389411764705883,6.041666666666667,4.942857142857143
Aadmi Ki Aurat Aur Anya Kahaniya,2009.0,78.0,Drama,7.6,62.0,Amit Dutta,Ashok Chaudhary,Bramhaswaroop Mishra,Gagan Singh Sethi,6.271282051282052,7.6,7.6,7.6,7.6
Aadmi Sadak Ka,1977.0,138.0,Drama,5.4,34.0,Devendra Goel,Shatrughan Sinha,Vikram Makandar,Zaheera,6.271282051282052,6.5,5.429166666666667,5.75,6.25
Aadupuliyattam,2016.0,145.0,Horror,4.2,266.0,Kannan Thamarakkulam,Jayaram,Ramya Krishnan,Om Puri,4.68655462184874,4.2,4.2,5.133333333333334,6.096
Aafat,1977.0,148.0,Crime,5.3,17.0,Atma Ram,Navin Nischol,Leena Chandavarkar,Jayshree T.,6.17,5.763636363636364,6.4363636363636365,6.3,5.366666666666667
Aag,1948.0,138.0,Musical,7.4,357.0,Raj Kapoor,Nargis,Kamini Kaushal,Nigar Sultana,6.116470588235294,7.145454545454545,7.447619047619048,6.95,7.2
Aag Aur Chingari,1994.0,133.0,Action,4.1,13.0,Kanti Shah,Alpana,Aparajita,Asrani,5.543406229290921,4.888235294117647,4.1,4.333333333333333,5.888
Aag Hi Aag,1987.0,170.0,Action,5.3,93.0,Shibu Mitra,Dharmendra,Shatrughan Sinha,Moushumi Chatterjee,5.543406229290921,5.36,5.924691358024691,5.785185185185185,6.263636363636365
Aag Ka Gola,1990.0,180.0,Action,4.8,101.0,David Dhawan,Sunny Deol,Dimple Kapadia,Archana Puran Singh,5.543406229290921,5.258333333333334,5.251063829787234,5.482608695652174,5.0200000000000005
Aag Ka Toofaan,1993.0,137.0,Action,4.8,21.0,Kanti Shah,Dharmendra,Sadashiv Amrapurkar,Asrani,5.543406229290921,4.888235294117647,5.924691358024691,5.355555555555556,5.888
Aag Ke Sholay,1988.0,138.0,Action,3.4,7.0,S.R. Pratap,Bipasha,Hemant Birje,Sudhir Dalvi,5.543406229290921,4.1,3.4,4.325,5.375
Aag Se Khelenge,1989.0,151.0,Action,5.0,52.0,Subhash Ghai,Bhaskar Shetty,Jeetendra,Anil Kapoor,5.543406229290921,6.188888888888889,5.0,5.58125,5.471428571428571
Aage Maut Peeche Maut,2001.0,78.0,Horror,3.1,7.0,A.T. Joy,Lekha Pande,Vimal Raj,Shakila,4.68655462184874,3.1,3.1,3.1,5.9399999999999995
Aagey Se Right,2009.0,117.0,Comedy,5.0,381.0,Indrajit Nattoji,Shreyas Talpade,Mahie Gill,Karan Veer Mehra,5.838155136268345,5.0,5.277777777777778,5.7,5.0
Aaghaaz,2000.0,153.0,Action,4.2,274.0,Yogesh Ishwar,Sunil Shetty,Sushmita Sen,Namrata Shirodkar,5.543406229290921,4.2,4.634615384615385,4.933333333333334,5.3
Aah,1953.0,150.0,Drama,7.2,275.0,Raja Nawathe,Nargis,Raj Kapoor,Vijayalaxmi,6.271282051282052,6.88,7.447619047619048,7.346666666666667,6.8
Aahuti,1978.0,135.0,Action,6.0,25.0,Ashok V. Bhushan,Rajendra Kumar,Shashi Kapoor,Rakesh Roshan,5.543406229290921,6.5,6.457142857142857,6.867999999999999,6.573333333333333
Aaina,1993.0,149.0,Drama,6.0,448.0,Deepak Sareen,Jackie Shroff,Juhi Chawla,Amrita Singh,6.271282051282052,5.166666666666667,5.247222222222223,5.819354838709677,5.153333333333333
Aaj,1987.0,116.0,Drama,5.5,281.0,Mahesh Bhatt,Raj Babbar,Smita Patil,Raj Kiran,6.271282051282052,5.726470588235294,5.78421052631579,6.261904761904762,6.027272727272727
Aaj Aur Kal,1963.0,144.0,Drama,5.6,52.0,Vasant Joglekar,Ashok Kumar,Sunil Dutt,Nanda,6.271282051282052,5.949999999999999,6.5458823529411765,6.5249999999999995,6.528571428571429
Aaj Ka Andha Kanoon,2003.0,46.0,Action,3.1,15.0,Amit Chandra Sahay,Sudesh Berry,Priyanka Upendra,Aman Jalali,5.543406229290921,3.1,3.1,3.1,3.1
Aaj Ka Arjun,1990.0,164.0,Action,4.7,586.0,K.C. Bokadia,Amitabh Bachchan,Jaya Prada,Radhika Sarathkumar,5.543406229290921,4.046153846153846,6.122340425531915,5.615,5.4
Aaj Ka Daur,1985.0,153.0,Action,5.1,40.0,K. Bapaiah,Jackie Shroff,Padmini Kolhapure,Nirupa Roy,5.543406229290921,5.46,5.247222222222223,5.68,6.52
Aaj Ka Goonda Raaj,1992.0,147.0,Action,5.3,144.0,Ravi Raja Pinisetty,Chiranjeevi,Meenakshi Sheshadri,Raj Babbar,5.543406229290921,5.720000000000001,6.3076923076923075,5.614285714285714,5.661904761904762
Aaj Ka Mahaatma,1976.0,170.0,Action,3.5,23.0,Kundan Kumar,Randhir Kapoor,Rekha,Ranjeet,5.543406229290921,4.966666666666666,5.509090909090909,5.821276595744681,4.966666666666667
Aaj Ka Ravan,2000.0,128.0,Action,4.3,31.0,Kasam Ali,Mithun Chakraborty,Gajendra Chauhan,Siddharth Dhawan,5.543406229290921,4.3,5.34078947368421,4.6000000000000005,4.35
Aaj Ka Samson,1991.0,123.0,Action,3.1,14.0,Kukoo Kapoor,Hemant Birje,Sahila Chaddha,Goga Kapoor,5.543406229290921,3.1,4.3125,5.225,5.3
Aaj Kaa M,1984.0,157.0,Action,5.8,65.0,Narayana Rao Dasari,Rajesh Khanna,Shabana Azmi,Deven Verma,5.543406229290921,5.536363636363636,6.6,6.389655172413794,6.775
Aaj Ke Angaarey,1988.0,128.0,Action,5.0,26.0,Babbar Subhash,Vinod K. Verma,Hemant Birje,Archana Puran Singh,5.543406229290921,5.327272727272727,5.0,4.325,5.0200000000000005
Aaj Ke Shahenshah,1990.0,132.0,Action,3.3,15.0,Shibu Mitra,Jeetendra,Raj Babbar,Chunky Panday,5.543406229290921,5.36,5.389411764705883,5.311764705882353,4.65
Aaj Ki Awaz,1984.0,137.0,Action,5.6,79.0,Ravi Chopra,Raj Babbar,Smita Patil,Rashmi Chauhan,5.543406229290921,5.8428571428571425,5.78421052631579,6.261904761904762,5.6
Aaja Meri Jaan,1993.0,162.0,Romance,4.4,30.0,Ketan Anand,Krishan Kumar,Tanya Singh,Shammi Kapoor,5.624503311258278,4.566666666666667,4.825,4.4,5.872727272727272
Aaja Nachle,2007.0,137.0,Drama,6.2,2998.0,Anil Mehta,Madhuri Dixit,Darshan Jariwala,Raghuvir Yadav,6.271282051282052,6.2,6.0,6.2,6.463636363636363
Aaja Sanam,1968.0,121.0,Drama,6.7,14.0,Yusuf Naqvi,Feroz Khan,Tanuja,Deven Verma,6.271282051282052,6.7,5.89,6.59375,6.775
Aakhree Raasta,1986.0,164.0,Action,7.1,1283.0,Bhagyaraj,Amitabh Bachchan,Sridevi,Jaya Prada,5.543406229290921,6.3,6.122340425531915,5.934782608695652,5.446153846153846
Aakhri Adaalat,1988.0,148.0,Action,5.2,78.0,Rajiv Mehra,Vinod Khanna,Dimple Kapadia,Jackie Shroff,5.543406229290921,6.0,5.758064516129032,5.482608695652174,5.535294117647059
